CVE ESTADO,CVE MUNICIPIO,emisiones NOx,,,,,,,,,,,,,,,,,,
,,Asados_al_carbon,Combustion_Agricola,Combustion_Comercial,Combustion_Domestica,Combustion_industrial,Incendios_en_construcciones,Incendios_Forestales,Ladrilleras,Quema_de_Residuos,Quemas_Agricolas,Rellenos_Sanitarios, cruces fronterizos ,Embarcaciones_marinas,Equipo_basico_eropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
07,012,07012,0.10393882,0,1.191495283,19.45931304,1.540012938,0.000492545,0,0,0.225229606,2.867210758,0,0,0,0,0,0,0.647482376,0
07,013,07013,0.04368923,0,0.822070332,25.75359298,0.200694115,0.00025842,0,0.351830417,0.440848066,6.936959245,0,0,0,0,0,0,2.104550453,0
07,014,07014,0.01903914,0,0.128340094,21.42740913,0.041884894,0.000173742,0,0,0,7.150947625,0,0,0,0,0,0,3.004783482,0
07,015,07015,0.06295398,0,0.661645214,32.48836675,0.185864217,0.000430397,1.26241423,0,0.268863663,1.778432332,0,0,0,0,0,0,1.709164015,0
07,016,07016,0.00945804,0,0.222860839,16.62466885,0.079366495,0.000147532,0,0.351830417,0.261873023,10.40942888,0,0,0,0,0,0,3.164446971,0
07,017,07017,0.1549091,0,2.206062156,49.14053299,1.858808414,0.00062437,58.50692906,4.925625844,0.92846609,15.66882756,0,0,0,0,0,0,2.427969399,0
07,018,07018,0.01080584,0,0.284429397,9.580486308,0.262183742,6.97587E-05,0,0,0.021868275,3.189381053,0,0,0,0,0,0,0.928966319,0
07,019,07019,0.33433644,0,6.683223677,76.55641278,4.758317566,0.001556334,2.753743731,34.12755049,0.584853749,10.96683086,0,0,0,0,0,0,3.099205651,0
07,020,07020,0.04251723,0,0.639966144,41.71534411,0.192348307,0.000295335,109.6523251,0,0.177152739,39.8510748,0,0,0,0,0,0,7.426027371,0
07,021,07021,0.02145932,0,0.587936376,17.44458945,0.162720124,0.000193298,0,0,0.056157642,2.589743379,0,0,0,0,0,0,1.128283538,0
07,022,07022,0.00385295,0,0.180369862,19.0734416,0.026178059,7.0666E-05,0,0,0.532289318,4.521206937,0,0,0,0,0,0,1.936549579,0
07,023,07023,0.01166726,0,0.430112747,98.70028291,0.083769788,0.000692101,0,0,0.469112459,5.243228118,0,0,0,0,0,0,65.99443632,0
07,024,07024,0.02436588,0,0.072841675,10.46536628,0.054973923,7.117E-05,0.387216874,0,1.242096592,1.820207948,0,0,0,0,0,0,0.823201725,0
07,025,07025,0.01014659,0,0.065904373,7.062719446,0.020942447,6.01316E-05,0,0,0.161426095,0.714194673,0,0,0,0,0,0,0.443722814,0
07,026,07026,0.01069743,0,0.163893769,37.35963008,0.132631163,0.000174447,0,0,0.220383925,5.002161126,0,0,0,0,0,0,2.324915734,0
07,027,07027,0.17159545,0,2.195033285,45.78321098,4.495575096,0.001100968,4.961287925,2.110982504,0.317771649,21.69935059,0,0,0,137.276,0,0,2.506645162,0
07,028,07028,0.01290079,0,0.131808745,4.4660456,0.041884894,4.74299E-05,0,0,0.004264094,6.961606622,0,0,0,0,0,0,0.674581436,0
07,029,07029,0.01076189,0,0.155222141,2.790842488,0.018324641,4.41032E-05,0,0,0.046107796,0.660491946,0,0,0,0,0,0,0.182859834,0
07,030,07030,0.03087048,0,0.57666326,37.86765077,0.170573541,0.000135785,4.229294605,1.055491252,0.228403417,11.75444975,0,0,0,0,0,0,2.616813737,0
07,031,07031,0.04399688,0,0.543711074,116.6327249,0.144811642,0.000307338,0,0.703660835,4.640765926,20.36050717,0,0,0,0,0,0,9.532815619,0
07,032,07032,0.04048967,0,0.924395542,23.82357432,0.167539576,0.000335518,0.941072426,0,0.288686922,5.524337962,0,0,0,0,0,0,4.366411513,0
07,033,07033,0.00223266,0,0.010405954,7.57067507,0.007853418,5.52425E-05,0,0,0.011720665,1.187368879,0,0,0,0,0,0,0.42160061,0
07,034,07034,0.07639389,0,1.95631927,62.08628569,0.512584556,0.000655414,0,0,0.527914697,34.36949781,0,0,0,0,0,0,5.086060866,0
07,035,07035,0.01237632,0,0.163893769,13.2174601,0.026178059,0.00013609,0,0,0.273588754,10.02946824,0,0,0,0,0,0,1.913506683,0
07,036,07036,0.00324937,0,0.146550513,6.685876728,0.026178059,1.81453E-05,0,0,0.076893582,1.584941308,0,0,0,0,0,0,0.673768158,0
07,037,07037,0.04599807,0,0.695464563,27.1309351,0.235557911,0.000364419,1.036505579,0,0.594403135,12.67866399,0,0,0,0,0,33.26877909,5.327824584,0
07,038,07038,0.00581019,0,0.052896931,23.32575315,0.015706835,0.000147179,0.315742886,0,0.054748277,2.739604223,0,0,0,0,0,0,1.232961202,0
