CVE ESTADO,CVE MUNICIPIO,Emisiones de   PM2.5,,,,,,,,,,,,,,,,,,,,,,,,
,,Actividades_de_la_construccion,Asados_al_carbon, Banco_de_Materiales ,Caminos_pavimentados_y_sin_pavimentar,Combustion_Agricola,Combustion_Comercial,Combustion_Domestica,Combustion_industrial,Corrales_de_engorda,Emisiones_domesticas_de_amoniaco,Incendios_en_construcciones,Incendios_Forestales,Labranza,Ladrilleras,Quema_de_Residuos,Quemas_Agricolas,Rellenos_Sanitarios,Cruces_front,Embarca_marinas,Equi_basico_aeropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
07,018,07018,0,0.235324254,,0.028342232,0,0.019778149,43.81422011,0.009270293,0.054993467,0,0.000172304,0,2.241613134,0,0.126835997,10.32194148,0,0,0,0,0,0,0.05508412,0
07,019,07019,0,7.281014104,,2.387152809,0,0.464726191,328.7701108,0.16824459,0.703561578,0,0.003844144,7.926316414,7.74774908,493.3377646,3.392151745,34.95920268,0,0,0,0,0,0,0.183770942,0
07,020,07020,0,0.925919267,,4.040193163,0,0.044500834,189.5309349,0.006801051,1.740513658,0,0.000729478,315.6208817,15.50676227,0,1.027485885,129.7005605,0,0,0,0,0,0,0.440334783,0
07,021,07021,0,0.467330488,,0.372549353,0,0.04088288,78.16810151,0.005753458,0.126544106,0,0.000477447,0,2.139413613,0,0.325714325,8.05941882,0,0,0,0,0,0,0.066902862,0
07,022,07022,0,0.083907645,,0.123495082,0,0.012542241,88.02154786,0.000925604,0.046833146,0,0.000174545,0,4.088770539,0,3.087278044,13.45635655,0,0,0,0,0,0,0.114829921,0
07,023,07023,0.318252263,0.254083834,,1.075623079,0,0.02990842,455.2832244,0.002961932,0.057240512,0,0.001709489,0,5.713145223,0,2.720852263,17.20116767,0,0,0,0,0,0,5.315313787,0
07,024,07024,0,0.530628118,,0.074281401,0,0.005065136,48.30416097,0.001943768,0.053929077,0,0.00017579,1.114556678,2.019899921,0,7.204160236,5.768770261,0,0,0,0,0,0,0.048812688,0
07,025,07025,0,0.220967433,,0.002288309,0,0.004582742,32.13971333,0.000740483,0.345335318,0,0.000148525,0,0.824869742,0,0.936271349,1.869394966,0,0,0,0,0,0,0.026311052,0
07,026,07026,0,0.232963355,,0.444855966,0,0.011396555,172.2966007,0.004689573,0.075689933,0,0.000430885,0,4.053912786,0,1.278226766,13.30621718,0,0,0,0,0,0,0.137858537,0
07,027,07027,0,3.736921084,,1.144329576,0,0.155629067,189.0882026,0.158954542,0.148068431,0,0.002719391,14.28046389,5.916415449,30.51573802,1.843075562,71.36854117,0,0,0,1.38,0,0,0.148634391,0
07,028,07028,0,0.280947042,,0.064543848,0,0.009165483,19.92842511,0.001480966,0.047542739,0,0.000117152,0,1.432464754,0,0.024731743,22.87385033,0,0,0,0,0,0,0.040000078,0
07,029,07029,0,0.234367133,,0.096418549,0,0.010793563,12.10314366,0.000647923,0.061852867,0,0.000108935,0,0.466929479,0,0.267425219,2.170187822,0,0,0,0,0,0,0.010842883,0
07,030,07030,0,0.672282089,,0.695755907,0,0.04009899,173.848012,0.006031139,0.154336504,0,0.000335389,12.17351015,5.185863183,15.25786901,1.324739818,37.08564462,0,0,0,0,0,0,0.155166962,0
07,031,07031,0,0.958142355,,3.35269159,0,0.037807619,537.1045947,0.00512025,1.544902488,0,0.000759124,0,18.20410854,10.17191267,26.91644237,61.29615236,0,0,0,0,0,0,0.565259201,0
07,032,07032,0,0.881764065,,0.300356531,0,0.064278983,106.849312,0.005923864,0.1512616,0,0.000828728,2.708762524,4.160905639,0,1.674384147,14.19801107,0,0,0,0,0,0,0.258911363,0
07,033,07033,0,0.048621768,,0.03306643,0,0.000723591,34.85756539,0.000277681,0.536334133,0,0.000136449,0,1.034823485,0,0.067979857,3.877981934,0,0,0,0,0,0,0.02499929,0
07,034,07034,0,1.663668461,,2.652459049,0,0.13603507,280.7561913,0.018123964,0.264678234,0,0.001618873,0,12.002136,0,3.061905245,112.3192244,0,0,0,0,0,0,0.301583794,0
07,035,07035,0,0.269525393,,0.283781157,0,0.011396555,59.99147788,0.000925604,0.076162995,0,0.000336142,0,4.994883286,0,1.586814775,33.23660414,0,0,0,0,0,0,0.113463567,0
