CVE ESTADO,CVE MUNICIPIO,Emisiones de   COV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aguas_Residuales,Aplicacion_de_plaguicidas,Artes_graficas,Asados_al_carbon,Asfaltado,Combustion_Agricola,Combustion_Comercial,Combustion_Domestica,Combustion_industrial,Esterilizaccion_de_material_hospitalario,Incendios_en_construcciones,Incendios_Forestales,Ladrilleras,Lavado_en_Seco,Limpieza_de_superficies_industriales,Manejo_y_distribucion_de_Combustibles,Manejo_y_Distribucion_de_gas_L.P.,Panificacion,Pintado_Automotriz,Pintura_para_se–alizacion_vial,Quema_de_Residuos,Quemas_Agricolas,Recubrimiento_de_superficies_arquitectonicas,Recubrimiento_de_superficies_en_la_Industria,Rellenos_Sanitarios,Uso_domestico_de_solventes,Cruces_front,Embarcaciones_marinas,Equipo_basico_eropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
05,011,05011,5.563799554,0.984632933,0,0.05074407,6.459775376,0.005284871,0.008340392,98.91557018,0.003184754,0.01558,0.000476771,0,0,0,1.690159284,4.700154334,102.504614,0.16704727,0,6.720971263,0.254904201,9.884334283,5.355029581,0.323066933,0.083161386,12.62735,0,0,0,0,7.214091122,0.881828572,0
05,012,05012,0,0.16143252,0,0.00918138,4.597856867,0,0.001055746,2.504454726,8.66037E-05,0,0.000224237,0,0,0,0.276571519,1.837586266,20.25432255,0.083523635,0,4.783767558,0.008899969,5.923718856,0.963423613,0,0,2.2862,0,0,0,0,0,0.293478199,0
05,013,05013,0,0.014056291,0,0.01693523,1.255513857,0,0.001689193,2.226694175,0,0,0.000204483,0,0,0,0,0,5.431563647,0,0,1.306279562,0.00885051,0.710433488,1.782333684,0,0.034370724,4.2103,0,0,0,0,0,0.359769144,0
05,014,05014,0,0.241447239,0,0.04803279,5.386467612,0,0.006334475,10.30929563,0.001682375,0,0.00134489,0,0,0,4.210033125,1.190438252,36.97097905,0.250570904,0,5.604265152,0.075371919,12.84096641,5.066002497,0.143585303,0.01189958,11.9422,0,0,0,0,4.779828134,0.32758412,0
05,015,05015,0,0.021505749,0,0.00963326,0.233451556,0,0.001266895,1.672613355,8.66037E-05,0,0.000209288,0,0,0,0.24584135,0,5.661909608,0,0,0.242890984,0.001965142,1.499211885,1.011594793,0,0.0084997,2.3998,0,0,0,0,0,0.096648932,0
05,016,05016,0,0.027392786,0,0.01958489,0.267615198,0,0.002164279,1.95068265,0.000760825,0,0.000201814,0,0,0,1.137016245,0,7.446925594,0.083523635,0,0.278436006,0.000958483,1.467089729,2.063332237,0,0,4.8706,0,0,0,0,0,0.154288266,0
05,017,05017,0.695474944,9.546578026,7.851656957,0.78168051,6.559419333,0.253196797,0.13635694,58.95537325,0.023708091,0.06642,0.007099778,0,0.352971489,0.103718394,107.7092416,32.37163814,478.7418215,3.862968109,11.67176744,6.824644244,0.198156587,248.2151731,82.41286154,27.61366757,44.50658496,194.42995,0,0,0,0,0,2.132967583,0
05,018,05018,413.1121169,0.030351744,78.76193385,2.50563352,2.907895359,0,0.539927161,26.94080611,0.094621579,0.28652,0.0346109,0,0,1.277032727,595.1819092,158.923187,1202.962163,32.26100394,58.74789609,3.025473798,0.025229716,1.403135918,264.146669,69.18121791,0,623.32675,0,0,0,0,0.611029576,0.738435013,0
05,019,05019,0,0.136675337,0.98145712,0.07848334,1.574374519,0,0.009712862,4.206280957,0.003287321,0.00656,0.000989847,0,0,0.025929599,7.498161186,5.404469139,90.9674639,0.250570904,1.556235658,1.638033102,0.004204085,5.906280372,8.27741454,1.37278359,0,19.525,0,0,0,0,0,0.230191735,0
05,020,05020,0,0.07751158,5.152649878,0.71369311,7.763687726,0,0.08445967,22.97782033,0.01445496,0.08528,0.009361656,148.3119288,0.176485745,0.077788796,70.52573738,36.87557146,376.3924271,4.113539014,9.337413948,8.077606274,0.069890831,4.494347861,75.24338416,14.62396944,1.043720307,177.53905,0,0,0,0,4.92765787,0.76310837,0
05,021,05021,6.954749442,0.155525983,0,0.04927546,1.098930496,0,0.003695111,11.25783856,0.00069283,0,0.000872924,19.86315034,0,0,0.737524051,2.656996876,23.71481635,0.16704727,0.778117829,1.143364878,0.002149527,7.598470853,5.194458979,0.343522685,0,12.25815,0,0,0,0,1.182637889,0.273335261,0
05,022,05022,0,0.639345201,1.962914239,0.32182072,2.086829154,0,0.023507821,12.25116765,0.01122634,0.00246,0.004149457,0,0.705942978,0.025929599,85.33767874,18.72377918,193.1952316,1.357259065,3.112471316,2.171208434,0.014380013,11.96982172,33.9084969,3.926931231,0,80.0525,0,0,0,0,4.454602715,115.0296074,0
05,023,05023,10.43212416,0.190222329,0,0.0689117,7.291090673,0,0.011613205,53.3832484,0.002221756,0,0.000708849,547.1014721,0,0.025929599,17.54692638,1.996587985,72.16321132,0.334094539,0,7.585900134,0.024093557,2.382523788,7.261805481,0.143585303,0,17.14295,0,0,0,0,6.267980811,0.170529606,0
05,024,05024,0,1.387973787,1.962914239,0.36798437,7.96582261,0,0.067778885,251.4346212,0.011041535,0.10578,0.002817381,0.549921406,0.176485745,0.103718394,92.62072875,25.96046215,219.0154548,3.487111753,4.668706974,8.287914321,0.333754614,27.82225998,38.78984321,3.983702097,60.00639079,91.5403,0,0,0,0,21.12979695,1.238964962,0
05,025,05025,470.1410623,0.077343844,31.89735639,1.74903235,1.836295777,0,0.358060007,42.91185529,0.082085912,0.23042,0.02321069,0,0.882428723,0.914018348,875.1644771,209.060224,889.1796002,7.913864397,57.77524881,1.910544938,0.018009145,6.15876478,184.3671654,124.3479075,0,435.1022,0,0,0,0,1.093940047,0.220340978,0
05,026,05026,0,0.013707832,0,0.00847275,4.916717529,0,0.000633448,3.206744995,0,0,0.000392415,0,0,0,0,1.360140798,11.27267891,0,0,5.115521098,0.017461662,1.065335927,0.891166842,0,0.01019964,2.1087,0,0,0,0,1.557139887,0.11439888,0
05,027,05027,69.54749442,0.790266254,12.268214,0.88951551,10.51386094,0.004398394,0.136125336,153.7667,0.159605763,0.0451,0.012532192,0,0.176485745,0.440803175,1570.588197,85.15140431,788.745391,4.447633553,8.559296119,10.93898055,0.122946379,36.34787033,93.78527444,237.3753127,0,221.33185,0,0,0,0,18.07464907,0.815614761,0
05,028,05028,0,0.034480343,13.49503539,0.67179151,5.850523754,0,0.109480847,17.01000636,0.023342051,0.0328,0.0095449,0,0.352971489,0.18150719,286.0671413,48.5940937,398.1770725,2.965089035,14.78423875,6.087085036,0.048061764,3.518344738,70.82367833,17.12222748,0.551205533,167.134,0,0,0,0,4.523589925,0.406552803,0
05,029,05029,0,0.034080849,0,0.02593175,0.316013692,0,0.002217066,1.813537789,0.001310552,0.00082,0.000280297,0,0,0,1.567238609,0,9.568394847,0.354975448,0,0.328791454,0.000256176,1.845278699,2.737728766,0.343522685,0.025499099,6.4468,0,0,0,0,0,0.063565259,0
05,030,05030,735.117016,2.295882873,354.3060202,8.47735096,8.922404596,0.025444576,1.412958983,411.9956702,0.305862621,0.81211,0.107657894,16.64139472,19.76640339,4.485820544,1558.972193,566.4307761,3792.408859,49.86360997,183.8303371,9.28317494,0.409544079,11.37909856,893.7560428,250.7907441,0,2108.8917,0,0,0,0,21.86894563,1.854033189,0.44873881
05,031,05031,0,0.19170105,0.98145712,0.23799698,2.209248873,0,0.028197805,13.18936777,0.00522865,0.04018,0.00340627,39.90597134,0,0.077788796,5.992382915,16.61167191,107.3830857,1.336378157,4.668706974,2.298578096,0.01115635,9.174036157,25.08915658,0.861511821,0,59.1998,0,0,0,0,0,0.484554996,0
05,032,05032,25.03709799,0.067233116,9.814571196,0.45154109,1.890388211,0,0.0797616,10.93662592,0.010456074,0.13284,0.006566327,0,0.705942978,0.077788796,30.76089896,21.85724083,243.8385462,3.194779031,9.337413948,1.966824557,0.054016209,4.630551026,47.61721206,1.117801281,0,112.3291,0,0,0,0,0,0.20314862,0
05,033,05033,1.390949888,5.812154259,9.814571196,0.67871349,12.22489002,0.053693895,0.123680629,202.5880054,0.028875982,0.08856,0.004529177,0.873744614,0.176485745,0.051859197,185.0263463,44.19363967,482.3456683,4.739966275,9.337413948,12.71919374,1.92455421,157.9244841,71.55427457,27.43830018,1.019963978,168.8309,0,0,0,0,4.582721819,2.617409202,0
05,034,05034,0,0.383340842,0,0.05220241,0.837009238,0,0.008076456,20.95326867,0.000346415,0.00164,0.000406098,0,0,0.025929599,0.491682701,6.561754977,24.21898813,0.250570904,0.778117829,0.870853042,0.038268045,21.60876021,5.499543123,0.143585303,0.025499099,12.98235,0,0,0,0,10.92954516,0.378603605,0
05,035,05035,1093.982087,1.650528253,272.1089864,7.19597333,3.678285494,0,1.650990143,191.8682032,0.297044444,0.96206,0.096365757,0,0,3.597731794,1435.221803,481.1598303,3536.950945,22.69754776,172.9366875,3.827014047,0.112198471,37.16847646,758.6238383,254.3477884,0,1790.194,0,0,19.868,0,1.980918464,0.371382814,0
05,036,05036,0.695474944,1.943397182,0,0.04024813,8.492512096,0.086781082,0.005384304,125.1473111,0.000173207,0.00082,0.00051647,0,0,0,0.307301688,2.950894608,66.82197444,0,0,8.835900079,0.448585236,42.26587577,4.247092426,0,0.034370724,10.01455,0,0,0,0,4.405326136,0.557060281,0
