GRIDCODE,CVE_ENTCVE_MUN,Fa
59067,7097,0.012875823
59068,7097,0.011875553
59069,7097,0.009399282
59070,7097,0.003007622
59957,12023,0.003325108
59958,12023,0.001530751
59960,20485,0.055929576
59961,20485,0.080422366
59962,20485,0.078614985
59963,20507,0.03556885
59964,20507,0.081016768
59965,20507,0.089707309
59966,20482,0.007847181
59967,20168,0.0003913
59968,20168,0.028105004
59969,20168,0.001015923
59970,20482,0.012150808
59971,20482,0.00358654
59972,20482,0.005583607
59973,20482,0.012693676
59974,20482,0.005488749
59975,20482,0.000572552
59977,20090,0.002729261
59978,20090,0.024128001
59979,20090,0.068731661
59980,20090,0.073798539
59981,20090,0.113439818
59982,20090,0.016019651
59983,20367,0.175084664
59984,20367,0.037218048
59985,20467,0.004362713
59986,20467,0.000973799
59987,20467,0.008824675
59988,20467,0.008368527
59989,20489,0.061022562
59990,20489,0.049067892
59991,20489,0.018022306
59992,20543,0.078844898
59993,20543,0.086441528
59994,20543,0.048207559
59995,20543,0.03366196
59996,20543,0.013400471
60001,20213,0.03366015
60002,20213,0.131074698
60020,20059,0.005490636
60021,20059,0.014935744
60022,20059,0.002912827
60023,20059,0.001480482
60024,20059,0.000658286
60025,20059,0.002169013
60026,20059,0.008996763
60027,20059,0.016120366
60028,20059,0.021069605
60029,20059,0.020714566
60030,20059,0.019237745
60031,20154,0.034729044
60032,20154,0.028998768
60033,20154,0.044380483
60034,20126,0.0001392
60035,20126,0.020568402
60036,20126,0.061708016
60037,20209,0.091316703
60038,20209,0.434806922
60039,20319,0.067291508
60046,20428,0.125109521
60047,20125,0.000166246
60048,20125,0.00000124
60057,20008,0.083657853
