GRIDCODE,CVENTMUN,Ft
83324,20530,0.218624071
83337,20226,0.112857751
83338,20131,0.017406708
83339,20226,0.005040476
83366,20036,0.131250515
83367,20036,0.088969273
83380,20010,0.002745523
83387,20005,0.042247244
83388,20005,0.010036462
84263,12021,0.058141269
84282,12053,0.087370693
84283,12053,0.031362005
84294,12012,0.063027356
84295,12012,0.096761245
84296,12012,0.084784224
84297,12012,0.037900347
84298,12012,0.088376179
84299,12012,0.047572954
84307,12041,0.008324886
84324,12062,0.142119413
84336,20073,0.064155895
84337,20073,0.035395383
84339,20073,0.126996627
84346,20500,0.057626628
84347,20026,0.024084019
84351,20026,0.039988126
84362,20108,0.097245767
84363,20108,0.006174496
84364,20108,0.022819112
84365,20108,0.086437198
84366,20108,0.072180141
84371,20292,0.065094958
84372,20292,0.017887121
84373,20388,0.010070528
84377,20555,0.794984316
84380,20565,0.086270068
84385,20051,0.548871258
84386,20551,0.058526798
84388,20233,0.767529364
84395,20226,0.004767736
84396,20226,0.129523891
84398,20194,0.414163595
84399,20194,0.22136452
84424,20470,0.049863606
84425,20470,0.044705682
84447,20407,0.023320131
84448,20407,0.145882728
84449,20407,0.065155747
85322,12021,0.037478727
85323,12021,0.029105675
85358,12012,0.041767742
85359,12012,0.093094779
85360,12012,0.005866759
85366,12041,0.027881503
85383,12062,0.005032075
85395,20073,0.015480353
85398,20073,0.116232319
85404,20392,0.134475688
85405,20026,0.023172109
85406,20026,0.006474552
85408,20026,0.036058764
85409,20026,0.125386411
85410,20026,0.028738056
85411,20026,0.015839299
85420,20274,0.389913524
85421,20274,0.144478466
85425,20108,0.022115221
85426,20273,0.249249141
85427,20273,0.156447052
85428,20273,0.182982488
85429,20273,0.2168629
85430,20273,0.029007475
85431,20292,0.107597524
85432,20048,0.518183414
85433,20388,0.128986695
85434,20388,0.117117035
85435,20565,0.257804289
85436,20565,0.255540035
85437,20565,0.027055116
85442,20219,0.40376009
85444,20051,0.451128742
85445,20118,0.110881905
85446,20118,0.429528755
85447,20118,0.046034443
85454,20226,0.103944738
85456,20226,0.103268556
85457,20194,0.364471885
85467,20200,0.033674727
85483,20470,0.0474768
85490,20513,0.131450594
85491,20513,0.243528018
85508,20407,0.149123216
85509,20407,0.03980357
86378,12021,0.049890883
86379,12021,0.037015817
86382,12021,0.06423254
86394,12001,0.049600094
86395,12001,0.056789279
86419,12052,0.084872718
86425,12041,0.026397707
86456,20073,0.02679117
86457,20073,0.086563234
86465,20026,0.071582529
86467,20026,0.020880279
86468,20026,0.044025631
86469,20297,0.134463727
86470,20297,0.23849683
86479,20274,0.381295469
86490,20273,0.088720096
86491,20292,0.100076053
86495,20342,0.997659351
86496,20342,0.002340649
86501,20349,0.295793486
86502,20380,0.561232582
86503,20197,0.399280249
86515,20226,0.122509158
86520,20517,0.043089716
86524,20200,0.106642718
86525,20200,0.208427085
86526,20200,0.321759116
86527,20200,0.185934971
86528,20200,0.035196999
86550,20513,0.415408085
