GRIDCODE,CVENTMUN,Furb,Frural,FpoT,PobUrb,PobR,PubU+R,PoT
12437,frac,,,,,,,
296330,32046,,0.000600841,0.000600841,,3,3,4993
296331,32055,,0.001285072,0.001285072,,18,18,14007
296334,32055,,0.013921611,0.013921611,,195,195,14007
296335,32055,,0.003141286,0.003141286,,44,44,14007
296337,32055,0.022163979,,0.022163979,389,,389,17551
296340,32055,,0.001784822,0.001784822,,25,25,14007
296349,32008,,0.010741944,0.010741944,,43,43,4003
296356,01004,,0.180687551,0.180687551,,1540,1540,8523
296357,01004,0.060988557,0.003402558,0.032117647,517,29,546,17000
296358,01004,,0.131291799,0.131291799,,1119,1119,8523
296359,01007,,0.000135071,0.000135071,,2,2,14807
296359,32025,,0.230124174,0.230124174,,1427,1427,6201
296360,32025,,0.006289308,0.006289308,,39,39,6201
296361,32025,,0.001935172,0.001935172,,12,12,6201
296362,32025,,0.075632962,0.075632962,,469,469,6201
296363,32025,,0.004031608,0.004031608,,25,25,6201
296365,32035,,0.079107228,0.079107228,,1159,1159,14651
296366,32035,,0.052760904,0.052760904,,773,773,14651
296373,32035,,0.080199304,0.080199304,,1175,1175,14651
296373,32054,,0.000137033,0.000137033,,2,2,14595
296374,32035,,0.000614293,0.000614293,,9,9,14651
296375,32054,,0.045015416,0.045015416,,657,657,14595
296377,32054,,0.073038712,0.073038712,,1066,1066,14595
296379,32054,,0.048167181,0.048167181,,703,703,14595
296380,32038,,0.001437712,0.001437712,,91,91,63295
296381,32038,,0.005956237,0.005956237,,377,377,63295
296382,32038,,0.002575243,0.002575243,,163,163,63295
296384,32038,,0.002196066,0.002196066,,139,139,63295
296385,32038,,0.018010901,0.018010901,,1140,1140,63295
296386,32038,,0.007883719,0.007883719,,499,499,63295
296387,32038,,0.000252785,0.000252785,,16,16,63295
296388,32038,,0.012544435,0.012544435,,794,794,63295
296391,24001,,0.090928962,0.090928962,,1248,1248,13725
296394,24001,,0.005173042,0.005173042,,71,71,13725
296396,24001,0.325966851,0.106885246,0.167492358,1711,1467,3178,18974
296396,24021,,0.00255284,0.00255284,,136,136,53274
296397,24021,,0.00446747,0.00446747,,238,238,53274
296400,24021,,0.001013628,0.001013628,,54,54,53274
296401,24021,,0.001032399,0.001032399,,55,55,53274
296402,24028,,0.003675974,0.003675974,,136,136,36997
296403,24028,,0.003297565,0.003297565,,122,122,36997
296405,24028,,0.003000243,0.003000243,,111,111,36997
296406,24028,,0.001892045,0.001892045,,70,70,36997
296407,24035,,0.01642291,0.01642291,,201,201,12239
296409,24035,,0.043304192,0.043304192,,530,530,12239
296410,24051,,0.037911244,0.037911244,,469,469,12371
296413,24051,,0.049066365,0.049066365,,607,607,12371
296417,24004,,0.0429034,0.0429034,,159,159,3706
296420,24051,,0.00864926,0.00864926,,107,107,12371
296424,24008,,0.042299859,0.042299859,,270,270,6383
