GRIDCODE,CVENTMUN,Promedio de LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),Suma de CARRxCELLxCarril,
295337,24028,774752.29,3478.77,
295338,24035,344218.19,2692.71,
295339,24035,344218.19,8266.89,
295340,24004,242031.65,2596.61,
295340,24035,344218.19,16441.32,
295341,24004,242031.65,1698.63,
295341,24035,344218.19,2460.50,
295342,24051,421868.77,1837.79,
295343,24004,242031.65,2334.46,
295343,24051,421868.77,2428.00,
295345,24051,421868.77,480.84,
295346,24004,242031.65,5002.43,
295346,24051,421868.77,2398.14,
295347,24004,242031.65,6940.67,
295348,24004,242031.65,6093.83,
295349,24004,242031.65,6248.22,
295350,24004,242031.65,238.67,
295357,24008,259519.15,426.94,
295357,24052,200271.63,5313.26,
295358,24052,200271.63,7393.14,
295360,24052,200271.63,6476.53,
295361,24052,200271.63,1606.75,
295363,24052,200271.63,8735.69,
295364,24052,200271.63,12.92,
295372,24010,505445.00,6403.76,
295380,24010,505445.00,5055.25,
295381,24010,505445.00,1504.64,
295393,24058,237637.25,6535.25,
295396,24013,763392.41,854.93,
295397,24013,763392.41,6750.78,
295401,24013,763392.41,6336.37,
295412,24040,450054.54,7563.47,
295413,24040,450054.54,5617.62,
295423,30123,400534.54,6735.96,
295428,30123,400534.54,7387.35,
295439,28038,75535.80,6457.42,
295440,28038,75535.80,27139.55,
296301,14042,161170.50,5392.43,
296302,14042,161170.50,2273.77,
296307,14061,156205.91,471.10,
296308,14061,156205.91,6398.53,
296309,14061,156205.91,7715.64,
296311,14061,156205.91,2896.56,
296312,14061,156205.91,6364.24,
296315,32031,287692.31,6485.22,
296318,32031,287692.31,2534.75,
296319,32031,287692.31,3894.12,
296326,14041,94281.15,7053.65,
296326,32046,133918.00,532.45,
296327,14041,94281.15,1122.74,
296327,32046,133918.00,1282.33,
296328,32046,133918.00,3755.75,
296329,32046,133918.00,4513.60,
296335,32055,531407.57,1351.18,
296336,32055,531407.57,13120.53,
296337,32055,531407.57,11157.77,
296356,01004,132812.19,3825.44,
296357,01004,132812.19,21906.69,
296358,01004,132812.19,9357.84,
296359,01007,261181.98,391.84,
296359,32025,102870.20,6801.56,
296360,32025,102870.20,10055.95,
296361,32025,102870.20,6026.87,
296362,32025,102870.20,4413.38,
296363,32024,235755.15,3786.63,
296363,32025,102870.20,2239.65,
296364,32024,235755.15,2294.69,
296364,32035,190595.24,542.97,
296365,32035,190595.24,588.52,
296366,32035,190595.24,11165.86,
296370,32035,190595.24,7500.66,
296373,32035,190595.24,3834.05,
296373,32054,146101.74,1390.79,
296374,32035,190595.24,169.66,
296374,32054,146101.74,8618.65,
296375,32054,146101.74,12251.33,
296376,32054,146101.74,4603.35,
296377,32054,146101.74,8611.08,
296379,32054,146101.74,2374.41,
296381,32038,751264.37,8338.43,
296385,32038,751264.37,363.35,
296388,32038,751264.37,587.24,
296389,24001,252630.33,8092.13,
296390,24001,252630.33,13106.18,
296391,24001,252630.33,18553.69,
296395,24001,252630.33,678.92,
296396,24001,252630.33,14243.39,
296396,24021,715998.78,1303.89,
296397,24001,252630.33,242.29,
296397,24021,715998.78,7588.61,
296398,24021,715998.78,8705.49,
296399,24021,715998.78,12690.44,
296402,24028,774752.29,2113.04,
296403,24028,774752.29,8160.79,
296405,24028,774752.29,9632.21,
296406,24028,774752.29,6543.29,
296406,24035,344218.19,118.57,
296407,24035,344218.19,8020.49,
296408,24035,344218.19,2931.98,
296409,24035,344218.19,21701.01,
296409,24051,421868.77,2095.16,
296410,24035,344218.19,43.11,
296410,24051,421868.77,6750.67,
296412,24051,421868.77,4323.22,
296413,24051,421868.77,7819.09,
296414,24051,421868.77,420.71,
296420,24051,421868.77,141.64,
296425,24052,200271.63,6165.53,
296426,24008,259519.15,2103.91,
296426,24052,200271.63,4196.77,
296432,24052,200271.63,7958.09,
296439,24010,505445.00,5866.30,
296440,24010,505445.00,9461.73,
296441,24010,505445.00,6814.29,
296448,24010,505445.00,6540.61,
296454,24010,505445.00,3928.25,
296460,24058,237637.25,10763.36,
296461,24058,237637.25,896.28,
296464,24013,763392.41,8602.65,
296468,24013,763392.41,6923.11,
296469,24013,763392.41,550.57,
296480,24040,450054.54,1072.91,
296490,30123,400534.54,2339.77,
296491,30123,400534.54,7692.83,
296495,30123,400534.54,4442.85,
296496,30123,400534.54,5647.81,
296508,28003,570994.48,5474.33,
296508,28038,75535.80,7459.25,
296510,28003,570994.48,7709.64,
297370,14042,161170.50,3162.27,
297376,14061,156205.91,11096.88,
297377,14061,156205.91,4369.17,
297383,32031,287692.31,6536.92,
297387,32031,287692.31,6110.74,
297395,32046,133918.00,5639.48,
297396,32046,133918.00,5900.08,
297403,32055,531407.57,5496.59,
297404,32055,531407.57,3266.01,
297405,32055,531407.57,5339.97,
297406,32055,531407.57,6054.13,
297423,32008,90637.99,3461.56,
297424,01004,132812.19,3342.07,
297424,32008,90637.99,6924.51,
297425,01004,132812.19,10452.37,
297426,01004,132812.19,7577.66,
297426,32025,102870.20,8648.64,
297427,32025,102870.20,9707.41,
297434,32035,190595.24,7090.75,
297435,32035,190595.24,7874.48,
