GRIDCODE,CVENTMUN,Promedio de LONG_VIALIDAD TOTAL x MUNICIPIO x NO. DE CARRILES (m),Suma de VIALIDADxCELLxCarril
291025,01002,253473.2035,2791.324846
291026,01002,253473.2035,4721.076672
291026,32024,267064.3257,162.0182444
291027,01002,253473.2035,195.7181023
291027,32024,267064.3257,3767.061058
291028,32024,267064.3257,18598.10985
291030,32024,267064.3257,6656.314372
291031,32024,267064.3257,5936.836774
291032,32024,267064.3257,5698.824474
291033,32024,267064.3257,2638.336644
291034,32024,267064.3257,7374.320683
291034,32038,1322451.36,4126.39357
291035,32024,267064.3257,207.6707099
291035,32038,1322451.36,8784.648848
291036,32038,1322451.36,12787.58645
291037,32038,1322451.36,5809.109929
291038,32038,1322451.36,4087.823597
291039,32038,1322451.36,3013.440268
291040,32038,1322451.36,18283.52977
291041,32038,1322451.36,15212.00156
291042,32038,1322451.36,5250.655642
291043,32038,1322451.36,5081.082827
291044,32038,1322451.36,2797.247458
291045,32038,1322451.36,4995.643029
291046,32038,1322451.36,290.1969607
291047,32038,1322451.36,6691.855379
291048,32038,1322451.36,6410.917764
291049,24021,147438.3207,744.9274455
291049,32038,1322451.36,3267.80194
291050,24021,147438.3207,1361.419414
291051,24021,147438.3207,5541.576614
291053,24021,147438.3207,4781.408386
291054,24021,147438.3207,954.2804562
291055,24021,147438.3207,45.84480609
291056,24021,147438.3207,79.77300063
291057,24021,147438.3207,684.8299751
291058,24021,147438.3207,742.6697704
291059,24021,147438.3207,5705.570834
291060,24021,147438.3207,1187.601224
291061,24021,147438.3207,3823.647512
291062,24028,1431315.963,114.9967944
291063,24028,1431315.963,2777.830207
291064,24028,1431315.963,3099.45905
291064,24035,368091.7753,4577.968435
291065,24035,368091.7753,7183.996645
291066,24035,368091.7753,5786.637411
291070,24009,22056.16242,535.4135854
291073,24004,139312.8327,7394.658913
291076,24030,99508.54825,2406.328904
291077,24030,99508.54825,8047.104907
291079,24030,99508.54825,1183.789867
291080,24030,99508.54825,2710.991784
291086,24052,138569.4399,1140.732152
291087,24052,138569.4399,6190.762373
291088,24052,138569.4399,4002.175825
291089,24052,138569.4399,3885.809156
291091,24024,845476.2925,3113.559948
291092,24024,845476.2925,4095.200653
291093,24024,845476.2925,226.9750013
291096,24024,845476.2925,1102.326175
291100,24010,364408.1228,3504.462281
291101,24010,364408.1228,3664.801316
291102,24010,364408.1228,1267.313323
291112,24010,364408.1228,4265.237734
291119,24058,263966.3166,3288.212398
291120,24013,1002429.203,608.0111419
291121,24013,1002429.203,7452.419531
291122,24013,1002429.203,4422.206261
291123,24013,1002429.203,5275.230475
291125,24013,1002429.203,4979.883767
291126,24013,1002429.203,3358.527349
291128,24013,1002429.203,3885.673807
291129,24013,1002429.203,692.1632143
291130,24013,1002429.203,5070.735974
291131,24013,1002429.203,5226.571576
291134,24040,827245.4608,1550.604598
291135,24040,827245.4608,5758.739958
291138,24040,827245.4608,6113.5273
291139,24040,827245.4608,5554.878401
291140,24040,827245.4608,1862.634219
291141,24040,827245.4608,4311.4612
291144,24016,413928.9293,207.4260292
291145,24016,413928.9293,4786.689372
291146,24016,413928.9293,7203.983852
291147,24016,413928.9293,7406.050616
291148,24016,413928.9293,8966.073815
291149,24016,413928.9293,5236.578154
291150,24016,413928.9293,11789.52937
291151,24016,413928.9293,19354.77337
291152,24016,413928.9293,8068.207822
291152,30123,1953715.203,270.2062715
291153,24016,413928.9293,112.0780732
291153,30123,1953715.203,2451.620836
291154,30123,1953715.203,7128.928196
291155,30123,1953715.203,4697.870193
291156,30123,1953715.203,4200.13076
291157,30123,1953715.203,10028.27659
291158,30123,1953715.203,4292.50729
291163,30123,1953715.203,154.7530484
291164,30123,1953715.203,1903.690342
291164,30133,178176.4985,4124.999584
291165,30123,1953715.203,287.6224612
291165,30133,178176.4985,4034.123853
291166,30133,178176.4985,1853.908845
291168,30133,178176.4985,993.2265243
291169,30133,178176.4985,6916.39218
291170,30133,178176.4985,13267.68654
291171,30133,178176.4985,5201.034862
292021,14061,1691171.711,4312.343865
292022,14061,1691171.711,6160.024253
292023,14061,1691171.711,9648.325583
292024,14061,1691171.711,10551.34167
292025,14061,1691171.711,11339.41712
292026,14061,1691171.711,8718.814446
292027,14061,1691171.711,86.21491237
292028,14061,1691171.711,2162.477222
292029,14061,1691171.711,2294.044838
292032,14061,1691171.711,1161.902879
292032,32049,1696240.391,3119.639756
292034,14061,1691171.711,9740.512951
292035,14061,1691171.711,1502.530448
292036,14061,1691171.711,6972.959209
292037,14061,1691171.711,1981.476885
292039,14061,1691171.711,3226.607204
292040,14061,1691171.711,1121.488442
292040,32031,759025.4936,2843.601676
292041,14061,1691171.711,649.1532968
292041,32031,759025.4936,8481.976839
292042,32031,759025.4936,4452.298501
292043,32031,759025.4936,1547.353402
292044,32031,759025.4936,5454.795528
292045,32031,759025.4936,2942.442616
292046,32031,759025.4936,4523.47023
292047,32031,759025.4936,1654.041102
292048,32031,759025.4936,8488.807918
292049,14041,166345.7868,142.807011
292049,32031,759025.4936,6688.407051
292050,32031,759025.4936,4146.174301
292051,14041,166345.7868,1176.91892
292053,14041,166345.7868,1865.440266
292053,14081,118440.6546,4811.160535
292054,14041,166345.7868,51.62632243
292054,14081,118440.6546,81.11060505
292054,32046,338858.3492,459.6280266
292055,14041,166345.7868,5982.58569
292055,14081,118440.6546,20.35794194
292056,14041,166345.7868,4083.950391
292057,14041,166345.7868,5640.390193
292058,14041,166345.7868,249.0821208
292058,32046,338858.3492,3205.032003
292060,32055,622792.4064,1339.649976
292061,32055,622792.4064,3912.475692
292063,32055,622792.4064,241.7289412
292064,32055,622792.4064,9078.965736
292065,32055,622792.4064,5529.553645
292066,32055,622792.4064,276.3355266
292067,32055,622792.4064,206.8310349
292068,32055,622792.4064,5522.474107
292069,32055,622792.4064,3686.143756
292070,32055,622792.4064,3356.898103
292077,01008,272609.4976,1321.571057
292078,01008,272609.4976,3885.89027
292079,01008,272609.4976,3747.529175
292080,01007,254020.3737,742.4478485
292081,01007,254020.3737,5129.804201
292082,01007,254020.3737,252.2115903
292083,01007,254020.3737,5183.715096
292084,01007,254020.3737,2349.107705
292085,01007,254020.3737,5044.447706
292086,01004,108796.5237,1744.384296
292086,01007,254020.3737,6608.003338
292087,01007,254020.3737,867.7120993
292087,01009,118726.6256,5161.468489
292088,01009,118726.6256,2955.995882
292089,01009,118726.6256,290.4170004
292092,01002,253473.2035,1127.903699
292093,01002,253473.2035,9100.211445
292094,01002,253473.2035,9543.39386
292094,32024,267064.3257,1873.404455
292095,32024,267064.3257,7330.857562
292096,32024,267064.3257,50521.35874
292097,32024,267064.3257,7875.961581
292098,32024,267064.3257,2722.334263
292099,32024,267064.3257,1383.323308
292100,32024,267064.3257,7304.947888
292101,32024,267064.3257,9206.254378
292102,32024,267064.3257,2614.783639
292102,32038,1322451.36,1737.965268
292103,32038,1322451.36,7794.832924
292104,32038,1322451.36,3454.815878
292105,32038,1322451.36,2747.356832
292106,32038,1322451.36,5524.707096
292107,32038,1322451.36,3749.035497
292108,32038,1322451.36,9621.126497
292109,32038,1322451.36,9694.727137
292110,32038,1322451.36,10233.79171
292111,32038,1322451.36,6138.894011
292112,32038,1322451.36,5366.959488
292113,32038,1322451.36,5542.755431
292114,32038,1322451.36,3422.205976
292115,24001,204901.4534,1730.18712
292115,32038,1322451.36,5091.279882
292116,24001,204901.4534,3524.646506
292116,32038,1322451.36,552.1694217
292117,24001,204901.4534,766.62308
292118,24001,204901.4534,681.5009813
292118,24021,147438.3207,4356.795938
292119,24021,147438.3207,5719.199228
292120,24021,147438.3207,1320.152367
292121,24021,147438.3207,2271.381437
292122,24021,147438.3207,571.2972993
292125,24021,147438.3207,10678.73632
292126,24021,147438.3207,4585.511624
292127,24021,147438.3207,741.8157434
292128,24021,147438.3207,458.208953
292129,24021,147438.3207,172.2787705
292130,24028,1431315.963,611.4588923
292131,24028,1431315.963,1832.980917
292132,24028,1431315.963,407.1294904
292132,24035,368091.7753,70.80810012
292133,24028,1431315.963,535.8152864
292133,24035,368091.7753,5774.775734
292134,24035,368091.7753,8112.204289
292140,24004,139312.8327,3187.726831
292141,24004,139312.8327,1913.990441
292142,24004,139312.8327,504.2716826
292143,24004,139312.8327,965.7245044
292144,24004,139312.8327,288.5286219
292144,24030,99508.54825,207.9688714
292146,24030,99508.54825,901.4042866
292147,24030,99508.54825,4375.744833
292155,24052,138569.4399,3394.937587
292159,24052,138569.4399,85.12430366
292160,24024,845476.2925,529.7611984
292161,24024,845476.2925,4007.557483
292168,24010,364408.1228,8588.228495
292169,24010,364408.1228,4879.838275
292170,24010,364408.1228,2184.816212
292175,24010,364408.1228,131.8039485
292178,24010,364408.1228,2064.231104
292179,24010,364408.1228,287.4984075
292180,24010,364408.1228,3232.14791
292182,24010,364408.1228,2715.435815
292187,24058,263966.3166,4639.558762
292188,24013,1002429.203,6268.781341
292189,24013,1002429.203,2033.420088
292190,24013,1002429.203,6791.541409
292191,24013,1002429.203,4372.649103
292193,24013,1002429.203,1120.941157
292194,24013,1002429.203,4751.545341
292195,24013,1002429.203,2274.905117
292196,24013,1002429.203,6546.672803
292197,24013,1002429.203,4905.990598
292198,24013,1002429.203,211.4476146
292199,24013,1002429.203,6886.481812
292202,24040,827245.4608,2796.160827
292203,24040,827245.4608,5212.368853
292204,24040,827245.4608,3383.890047
292205,24040,827245.4608,5026.130408
292206,24040,827245.4608,7960.723472
292207,24040,827245.4608,8516.748403
292208,24040,827245.4608,5881.678219
292209,24016,413928.9293,1315.672428
292209,24040,827245.4608,4737.367861
292210,24016,413928.9293,3000.640063
292211,24016,413928.9293,3000.868811
292212,24016,413928.9293,3003.590916
292213,24016,413928.9293,3000.847842
292214,24016,413928.9293,3982.136812
292215,24016,413928.9293,8011.885945
292216,24016,413928.9293,7242.611622
292217,24016,413928.9293,10244.05018
292218,24016,413928.9293,10329.31352
292219,24016,413928.9293,10295.12462
292220,24016,413928.9293,3504.255354
292220,30123,1953715.203,5163.966685
292221,30123,1953715.203,8647.493133
292222,30123,1953715.203,5195.311273
292223,30123,1953715.203,7985.369293
292224,30123,1953715.203,1563.002151
292225,30123,1953715.203,3394.180619
292231,30123,1953715.203,527.7995225
292232,30123,1953715.203,18154.52859
292233,30123,1953715.203,7215.670826
292234,30123,1953715.203,806.2240413
292235,30123,1953715.203,59.92831544
292235,30133,178176.4985,1396.425321
292236,28038,233042.9528,21435.84337
292236,30133,178176.4985,3099.475947
292237,28038,233042.9528,65660.56112
292237,30133,178176.4985,983.4622
292238,30133,178176.4985,11598.19715
292239,30133,178176.4985,3086.335421
293089,14061,1691171.711,2961.681435
293090,14061,1691171.711,10064.15587
293091,14061,1691171.711,10119.23997
293092,14061,1691171.711,8747.174927
293093,14061,1691171.711,8914.993671
293094,14061,1691171.711,15700.26609
293095,14061,1691171.711,13778.66605
293096,14061,1691171.711,6560.644585
293097,14061,1691171.711,2128.759577
293101,14061,1691171.711,935.1582377
293102,14061,1691171.711,11284.61237
293103,14061,1691171.711,3597.040448
293104,14061,1691171.711,9402.297296
293106,14061,1691171.711,7015.128093
